DateKey,Date,Day,WeekNum,Month,MonthNum,Quarter,Year
20140212,2014-02-12,Wednesday,7,Feb,2,1,2014
20140213,2014-02-13,Thursday,7,Feb,2,1,2014
20140214,2014-02-14,Friday,7,Feb,2,1,2014
20140215,2014-02-15,Saturday,7,Feb,2,1,2014
20140216,2014-02-16,Sunday,8,Feb,2,1,2014
20140217,2014-02-17,Monday,8,Feb,2,1,2014
20140218,2014-02-18,Tuesday,8,Feb,2,1,2014
20140219,2014-02-19,Wednesday,8,Feb,2,1,2014
20140220,2014-02-20,Thursday,8,Feb,2,1,2014
20140221,2014-02-21,Friday,8,Feb,2,1,2014
20140222,2014-02-22,Saturday,8,Feb,2,1,2014
20140223,2014-02-23,Sunday,9,Feb,2,1,2014
20140224,2014-02-24,Monday,9,Feb,2,1,2014
20140225,2014-02-25,Tuesday,9,Feb,2,1,2014
20140226,2014-02-26,Wednesday,9,Feb,2,1,2014
20140227,2014-02-27,Thursday,9,Feb,2,1,2014
20140228,2014-02-28,Friday,9,Feb,2,1,2014
20140301,2014-03-01,Saturday,9,Mar,3,1,2014
20140302,2014-03-02,Sunday,10,Mar,3,1,2014
20140303,2014-03-03,Monday,10,Mar,3,1,2014
20140304,2014-03-04,Tuesday,10,Mar,3,1,2014
20140305,2014-03-05,Wednesday,10,Mar,3,1,2014
20140306,2014-03-06,Thursday,10,Mar,3,1,2014
20140307,2014-03-07,Friday,10,Mar,3,1,2014
20140308,2014-03-08,Saturday,10,Mar,3,1,2014
20140309,2014-03-09,Sunday,11,Mar,3,1,2014
20140310,2014-03-10,Monday,11,Mar,3,1,2014
20140311,2014-03-11,Tuesday,11,Mar,3,1,2014
20140312,2014-03-12,Wednesday,11,Mar,3,1,2014
20140313,2014-03-13,Thursday,11,Mar,3,1,2014
20140314,2014-03-14,Friday,11,Mar,3,1,2014
20140315,2014-03-15,Saturday,11,Mar,3,1,2014
20140316,2014-03-16,Sunday,12,Mar,3,1,2014
20140317,2014-03-17,Monday,12,Mar,3,1,2014
20140318,2014-03-18,Tuesday,12,Mar,3,1,2014
20140319,2014-03-19,Wednesday,12,Mar,3,1,2014
20140320,2014-03-20,Thursday,12,Mar,3,1,2014
20140321,2014-03-21,Friday,12,Mar,3,1,2014
20140322,2014-03-22,Saturday,12,Mar,3,1,2014
20140323,2014-03-23,Sunday,13,Mar,3,1,2014
20140324,2014-03-24,Monday,13,Mar,3,1,2014
20140325,2014-03-25,Tuesday,13,Mar,3,1,2014
20140326,2014-03-26,Wednesday,13,Mar,3,1,2014
20140327,2014-03-27,Thursday,13,Mar,3,1,2014
20140328,2014-03-28,Friday,13,Mar,3,1,2014
20140329,2014-03-29,Saturday,13,Mar,3,1,2014
20140330,2014-03-30,Sunday,14,Mar,3,1,2014
20140331,2014-03-31,Monday,14,Mar,3,1,2014
20140401,2014-04-01,Tuesday,14,Apr,4,2,2014
20140402,2014-04-02,Wednesday,14,Apr,4,2,2014
20140403,2014-04-03,Thursday,14,Apr,4,2,2014
20140404,2014-04-04,Friday,14,Apr,4,2,2014
20140405,2014-04-05,Saturday,14,Apr,4,2,2014
20140406,2014-04-06,Sunday,15,Apr,4,2,2014
20140407,2014-04-07,Monday,15,Apr,4,2,2014
20140408,2014-04-08,Tuesday,15,Apr,4,2,2014
20140409,2014-04-09,Wednesday,15,Apr,4,2,2014
20140410,2014-04-10,Thursday,15,Apr,4,2,2014
20140411,2014-04-11,Friday,15,Apr,4,2,2014
20140412,2014-04-12,Saturday,15,Apr,4,2,2014
20140413,2014-04-13,Sunday,16,Apr,4,2,2014
20140414,2014-04-14,Monday,16,Apr,4,2,2014
20140415,2014-04-15,Tuesday,16,Apr,4,2,2014
20140416,2014-04-16,Wednesday,16,Apr,4,2,2014
20140417,2014-04-17,Thursday,16,Apr,4,2,2014
20140418,2014-04-18,Friday,16,Apr,4,2,2014
20140419,2014-04-19,Saturday,16,Apr,4,2,2014
20140420,2014-04-20,Sunday,17,Apr,4,2,2014
20140421,2014-04-21,Monday,17,Apr,4,2,2014
20140422,2014-04-22,Tuesday,17,Apr,4,2,2014
20140423,2014-04-23,Wednesday,17,Apr,4,2,2014
20140424,2014-04-24,Thursday,17,Apr,4,2,2014
20140425,2014-04-25,Friday,17,Apr,4,2,2014
